#missing_number - questionoption1: 숫자 간 간격 / questionoption2: 괄호 위치(미지정 시 랜덤) / questionoption3: ascending, descending 지정 가능, 없으면 둘 중 하나 / answerpoint1: 시작 수 세팅 (10=10의 배수, 5=5의 배수..), 없으면 랜덤                                                                                         #operations_with_objects - questionoption2: regroupingtrue시 받아올림,받아내림 강제. regroupingfalse시 받아올림, 받아내림 없음. 없으면 둘 중 하나.                                                                                         #operations_without_objects - questionoption3: vertical시 세로 연산. horizontal시 가로 연산. 없으면 둘 중 하나.                                                                                         #biggest_and_smallest - questionoption1: biggest시 가장 큰 수. smallest시 가장 작은 수.                                                                                         #bigger_and_smaller - questionoption1: bigger시 더 큰 수. smaller시 더 작은 수. / questionoption2: image, number 지정, 없으면 둘 중 하나 / questionoption3: image의 경우 lineup을 기재하면 정렬됨                                                                                         #compare_number_magnitudes - questionoption1: ascending, descending 지정 가능, 없으면 둘 중 하나 / answeroption1: 숫자 간 간격 지정, 없으면 지정하지 않음.                                                                                         #shapes - questionoption1: 질문, 음성 파일 명과 일치해야 함 / answerrange: 항목 중 답변을 하나 선택. 이미지 파일 명과 일치해야 함 / answeroption1 항목 중 보기 선택. 이미지 파일 명과 일치해야 함"
#level	worksheet	leveltypesequence	type	templatename	questionoption1	questionoption2	questionoption3	questionoption4	questionoption5	answer	answeroption1			
PostTest_1	1	1001, 1001, 1002, 1002, 1003, 1004, 1004, 1005, 1005, 1006												
			1001	single_digit_numbers	कितने हैं?					1~5				
			1002	single_digit_numbers	कितने हैं?					4~9				
			1003	2digit_numbers	कितने हैं?					10	5~10			
			1004	recognize_number						1~9				
			1005	number_identification						1~9				
			1006	recognize_number						10	5~10			
PostTest_2	1	2001, 2002, 2001~2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009												
			2001	2digit_numbers	कितने हैं?					11~15				
			2002	2digit_numbers	कितने हैं?					16~20				
			2003	recognize_number						16~19				
			2004	recognize_number						20	11~20			
			2005	number_identification						11~15				
			2006	bigger_and_smaller	bigger	image	lineup	کونسا گروہ چھوٹا ہے؟	कौन सा समूह बड़ा है	1~10				
			2007	bigger_and_smaller	smaller	image	lineup	کونسا گروہ چھوٹا ہے؟	 कौन सा समूह छोटा है	1~10				
			2008	bigger_and_smaller	bigger	number		کون سا عدد بڑا ہے؟	 कौन सा बड़ा है	1~10				
			2009	bigger_and_smaller	smaller	number		کون سا عدد چھوٹا ہے؟	कौन सा छोटा है	1~10				
MiniTest_3_1	1	31001, 31002, 31003, 31004, 31005												
			31001	2digit_numbers	कितने हैं?					10~20				
			31002	2digit_numbers	कितने हैं?					17~20				
			31003	recognize_number						1~20				
			31004	number_identification						11~19				
			31005	missing_number_drag	1	4	ascending			1~5				
MiniTest_3_2	1	32001, 32001, 32002, 32002, 32003												
			32001	operations_with_objects	1~4+1~4=?					2~5				
			32002	operations_with_objects	2~5-1~4=?					1~4				
			32003	missing_number_drag	1	4	descending			1~5				
MiniTest_3_3	1	33001, 33002, 33003, 33004, 33005												
			33001	bigger_and_smaller	bigger	number		کون سا عدد بڑا ہے؟	 कौन सा बड़ा है	1~10				
			33002	bigger_and_smaller	smaller	number		کون سا عدد چھوٹا ہے؟	कौन सा छोटा है	1~10				
			33003	biggest_and_smallest	biggest	کون سا عدد سب سے بڑا ہے؟	कौन सा सबसे बड़ा है			1~10				
			33004	biggest_and_smallest	smallest	کون سا عدد سب سے چھوٹا ہے؟	कौन सा सबसे छोटा है			1~10				
			33005	compare_number_magnitudes	ascending	اعداد کو چھوٹے سے بڑے کی ترتیب دیں	सबसे छोटे से लेकर सबसे बड़े तक के क्रम में सख्या को रखे			1~10				
PostTest_3	1	3001, 3002, 3003~3004, 3005, 3006, 3007~3008, 3009, 3010, 3011, 3012												
			3001	2digit_numbers	कितने हैं?					21~50				
			3002	recognize_number						21~50				
			3003	bigger_and_smaller	bigger	number		کون سا عدد بڑا ہے؟	 कौन सा बड़ा है	1~20				
			3004	bigger_and_smaller	smaller	number		کون سا عدد چھوٹا ہے؟	कौन सा छोटा है	1~20				
			3005	compare_number_magnitudes	ascending	اعداد کو چھوٹے سے بڑے کی ترتیب دیں	सबसे छोटे से लेकर सबसे बड़े तक के क्रम में संख्या को रखे			1~10				
			3006	compare_number_magnitudes	ascending	اعداد کو چھوٹے سے بڑے کی ترتیب دیں	सबसे छोटे से लेकर सबसे बड़े तक के क्रम में संख्या को रखे			1~20				
			3007	biggest_and_smallest	biggest	کون سا عدد سب سے بڑا ہے؟	कौन सा सबसे बड़ा है			1~20				
			3008	biggest_and_smallest	smallest	کون سا عدد سب سے چھوٹا ہے؟	कौन सा सबसे छोटा है			1~20				
			3009	missing_number_drag	1	3	ascending			1~10				
			3010	missing_number_drag	1	4	descending			1~10				
			3011	operations_with_objects	1~10+1~10=?	regroupingfalse				1~10				
			3012	operations_with_objects	1~10-1~10=?	regroupingfalse				1~10				
MiniTest_4_1	1	41001, 41002, 41003, 41004, 41005												
			41001	recognize_number						21~50				
			41002	number_identification						51~99				
			41003	compare_number_magnitudes	ascending	اعداد کو چھوٹے سے بڑے کی ترتیب دیں	सबसे छोटे से लेकर सबसे बड़े तक के क्रम में संख्या को रखे			1~20				
			41004	missing_number_drag	1	4	ascending			1~10				
			41005	bigger_and_smaller	bigger	number		کون سا عدد بڑا ہے؟	 कौन सा बड़ा है	20~50				
MiniTest_4_2	1	42001, 42002, 42003, 42004, 42005~42008												
			42001	2digit_numbers	कितने हैं?					51~100				
			42002	compare_number_magnitudes	ascending	اعداد کو چھوٹے سے بڑے کی ترتیب دیں	सबसे छोटे से लेकर सबसे बड़े तक के क्रम में संख्या को रखे			1~20				
			42003	operations_with_objects	2~10-1~4=?					1~9				
			42004	operations_with_objects	2~10-5~9=?					1~9				
			42005	shapes	which	کون سی شکل سرکل ہے؟	कौनसा सरकल है?			circle	circle,square,triangle,rectangle			
			42006	shapes	which	کون سی شکل اسکوائر ہے؟	कौनसा स्क्वायर है?			square	circle,square,triangle,rectangle			
			42007	shapes	which	کون سی شکل ٹرائینگل ہے؟	कौनसा ट्रायंगल है?			triangle	circle,square,triangle,rectangle			
			42008	shapes	which	کون سی شکل رکٹینگل ہے؟	कौन सा रैक्टेंगल है?			rectangle	circle,square,triangle,rectangle			
PostTest_4	1	4001, 4002, 4003, 4004~4005, 4006, 4007, 4008, 4009~4010, 4011~4014, 4015												
			4001	2digit_numbers	कितने हैं?					51~100				
			4002	number_identification						51~99				
			4003	use_magnitude_symbols	11~50	11~50	خالی جاگہ میں بھریں .	 खाली स्थान भरें						
			4004	biggest_and_smallest	biggest	کون سا عدد سب سے بڑا ہے؟	कौन सा सबसे बड़ा है			11~50				
			4005	biggest_and_smallest	smallest	کون سا عدد سب سے چھوٹا ہے؟	कौन सा सबसे छोटा है			11~50				
			4006	compare_number_magnitudes	ascending	اعداد کو چھوٹے سے بڑے کی ترتیب دیں	सबसे छोटे से लेकर सबसे बड़े तक के क्रम में संख्या को रखे			1~50				
			4007	missing_number_drag	1	4	descending			1~20				
			4008	missing_number_drag	2	3	ascending			1~20	2			
			4009	operations_with_objects	1~20+1~20=?	regroupingfalse				1~20				
			4010	operations_with_objects	1~20-1~20=?	regroupingfalse				1~20				
			4011	shapes	which	کون سی شکل سرکل ہے؟	कौनसा सरकल है?			circle	circle,square,triangle,rectangle			
			4012	shapes	which	کون سی شکل اسکوائر ہے؟	कौनसा स्क्वायर है?			square	circle,square,triangle,rectangle			
			4013	shapes	which	کون سی شکل ٹرائینگل ہے؟	कौनसा ट्रायंगल है?			triangle	circle,square,triangle,rectangle			
			4014	shapes	which	کون سی شکل رکٹینگل ہے؟	कौन सा रैक्टेंगल है?			rectangle	circle,square,triangle,rectangle			
			4015	shapes	what	شکل پہچانیں؟	यह कौन सा आकार है?			circle,square,triangle,rectangle	circle,square,triangle,rectangle			
MiniTest_5_1	1	51001, 51002, 51003, 51004, 51005												
			51001	operations_drag	1~9+1~9=?		horizontal			1~10				
			51002	operations_drag	1~10-1~9=?		horizontal			1~9					
			51003	operations_drag	10-1~9=?		horizontal			1~9					
			51004	biggest_and_smallest	biggest	کون سا عدد سب سے بڑا ہے؟	कौन सा सबसे बड़ा है			11~50				
			51005	missing_number_drag	1	4	descending			1~20
MiniTest_5_2	1	52001, 52002, 52003, 52004, 52005												
			52001	operations_drag	10+1~9=?		vertical			11~19				
			52002	operations_drag	11~20+1~10=?		vertical			11~19				
			52003	missing_number_drag	10	4	ascending			1~50	10				
			52004	operations_with_objects	1~9+1~9=?					10				
			52005	use_magnitude_symbols	11~50	11~50	خالی جاگہ میں بھریں .	 खाली स्थान भरें						
MiniTest_5_3	1	53001, 53002, 53003, 53004, 53005												
			53001	operations_with_objects	1~9+1~9=?	regroupingtrue				1~20				
			53002	operations_with_objects	10-1~9=?	regroupingtrue				1~9				
			53003	operations_drag	11~20-1~10=?		vertical			10~20				
			53004	compare_number_magnitudes	ascending	اعداد کو چھوٹے سے بڑے کی ترتیب دیں	सबसे छोटे से लेकर सबसे बड़े तक के क्रम में संख्या को रखे			1~50				
			53005	shapes	what	شکل پہچانیں؟	यह कौन सा आकार है?			pentagon,hexagon,parallelogram,trapezoid	pentagon,hexagon,parallelogram,trapezoid			
PostTest_5	1	5001, 5002~5003, 5004~5007, 5008~5010, 5011, 5012, 5013, 5014, 5015~5018, 5019												
			5001	recognize_number						51~100				
			5002	use_magnitude_symbols	41~50	41~50	خالی جاگہ میں بھریں .	 खाली स्थान भरें						
			5003	use_magnitude_symbols	16~19	31~34	خالی جاگہ میں بھریں .	 खाली स्थान भरें						
			5004	biggest_and_smallest	biggest	کون سا عدد سب سے بڑا ہے؟	कौन सा सबसे बड़ा है			11~50				
			5005	biggest_and_smallest	smallest	کون سا عدد سب سے چھوٹا ہے؟	कौन सा सबसे छोटा है			11~50				
			5006	compare_number_magnitudes	ascending	اعداد کو چھوٹے سے بڑے کی ترتیب دیں	सबसे छोटे से लेकर सबसे बड़े तक के क्रम में संख्या को रखे			11~50				
			5007	compare_number_magnitudes	descending	اعداد کو بڑے سے چھوٹے کی ترتیب دیں	सबसे बड़े से लेकर सबसे छोटे तक के क्रम में संख्या को रखे			11~50				
			5008	missing_number_drag	1	2	ascending			1~50				
			5009	missing_number_drag	5	3	ascending			1~50	5			
			5010	missing_number_drag	10	4	descending			1~50	10			
			5011	operations_with_objects	1~9+1~9=?	regroupingtrue				11~18				
			5012	operations_drag	1~9+1~9=?		vertical			10				
			5013	operations_drag	10+1~10=?		horizontal			11~19				
			5014	operations_drag	10-1~9=?		vertical			1~9				
			5015	shapes	which	کون سی شکل پینٹاگون ہے؟	कौनसा पेंटागॉन  है?			pentagon	pentagon,hexagon,parallelogram,trapezoid			
			5016	shapes	which	کون سی شکل ہیگژاگون ہے؟	कोनसा हेक्सागॉन है ?			hexagon	pentagon,hexagon,parallelogram,trapezoid			
			5017	shapes	which	کون سی شکل پیرللوگرام ہے؟	कौनसा पॅरललोग्राम है?			parallelogram	pentagon,hexagon,parallelogram,trapezoid			
			5018	shapes	which	کون سی شکل ٹریپیزوئڈ ہے؟	कौनसा ट्रापेज़ोइड है?			trapezoid	pentagon,hexagon,parallelogram,trapezoid			
			5019	shapes	what	شکل پہچانیں؟	यह कौन सा आकार है?			cylinder,cube,sphere,cone	cylinder,cube,sphere,cone			
MiniTest_6_1	1	61001, 61002, 61003, 61004, 61005												
			61001	missing_number_drag	1	3	ascending			51~100				
			61002	missing_number_drag	10	4	ascending			51~100	10			
			61003	number_identification						51~100				
			61004	operations_with_objects	11~19+1~9=?	regroupingtrue				20				
			61005	operations_drag	1~9+1~9=?	regroupingtrue	vertical			10~19				
MiniTest_6_2	1	62001~62002, 62003, 62004, 62005, 62006												
			62001	biggest_and_smallest	biggest	کون سا عدد سب سے بڑا ہے؟	कौन सा सबसे बड़ा है			51~100				
			62002	biggest_and_smallest	smallest	کون سا عدد سب سے چھوٹا ہے؟	कौन सा सबसे छोटा है			51~100				
			62003	use_magnitude_symbols	51~100	51~100	خالی جاگہ میں بھریں .	 खाली स्थान भरें						
			62004	operations_drag	11~20-10=?		horizontal			1~10
			62005	operations_drag	11~20-1~9=?	regroupingtrue	vertical			1~10
			62006	compare_number_magnitudes	ascending	اعداد کو چھوٹے سے بڑے کی ترتیب دیں	सबसे छोटे से लेकर सबसे बड़े तक के क्रम में संख्या को रखे			51~99				
MiniTest_6_3	1	63001, 63002, 63003, 63004~63005, 63006												
			63001	missing_number_drag	10	3	descending			51~100	10			
			63002	operations_with_objects	11~20-1~9=?	regroupingtrue				1~20				
			63003	operations_drag	1~20+1~20=?	regroupingtrue	vertical			20				
			63004	operations_drag	20-1~9=?	regroupingtrue	vertical			11~19				
			63005	operations_drag	20-11~19=?	regroupingtrue	vertical			1~9				
			63006	compare_number_magnitudes	ascending	اعداد کو چھوٹے سے بڑے کی ترتیب دیں	सबसे छोटे से लेकर सबसे बड़े तक के क्रम में संख्या को रखे			71~99				
PostTest_6	1	6001, 6002, 6003, 6004~6005, 6006~6007, 6008~6009, 6010, 6011, 6012, 6013~6014												
			6001	recognize_number						51~100				
			6002	3digit_numbers	कितने हैं?					100~110				
			6003	use_magnitude_symbols	51~100	51~100	خالی جاگہ میں بھریں .	 खाली स्थान भरें						
			6004	biggest_and_smallest	biggest	کون سا عدد سب سے بڑا ہے؟	कौन सा सबसे बड़ा है			51~100				
			6005	biggest_and_smallest	smallest	کون سا عدد سب سے چھوٹا ہے؟	कौन सा सबसे छोटा है			51~100				
			6006	missing_number_drag	10	2	ascending			50~100	10			
			6007	missing_number_drag	5	2	ascending			51~100	5			
			6008	missing_number_drag	1	3	descending			51~100				
			6009	missing_number_drag	10	3	descending			51~100	10			
			6010	operations_with_objects	1~9+1~9=?	regroupingtrue				11~18				
			6011	operations_with_objects	11~20-1~9=?	regroupingtrue				2~19				
			6012	operations_drag	11~20-1~10=?	regroupingfalse	horizontal			1~10				
			6013	operations_drag	11~19+1~9=?	regroupingtrue	vertical			20				
			6014	operations_drag	20-1~9=?	regroupingtrue	vertical			11~19				
MiniTest_7_1	1	71001,71002, 71003, 71004, 71005												
			71001	missing_number_drag	3	4	ascending			1~20	3			
			71002	operations_with_objects	11~19-1~9=?	regroupingtrue				1~9				
			71003	operations_drag	1~10+1~10=?	regroupingtrue	vertical			10~20				
			71004	compare_number_magnitudes	ascending	اعداد کو چھوٹے سے بڑے کی ترتیب دیں	सबसे छोटे से लेकर सबसे बड़े तक के क्रम में संख्या को रखे			51~99				
			71005	word_problem	7 سرخ سیب اور 2 سبز سیب ٹوکری میں ہیں. کتنے سیب ٹوکری میں ہیں ؟	Seven रेड एप्पल और two ग्रीन एप्पल टोकरी में हैं। टोकरी में कितने एप्पल हैं?				9				
MiniTest_7_2	1	72001, 72002, 72003, 72004, 72005												
			72001	missing_number_drag	2	4	descending			1~10	2			
			72002	operations_drag	11~19+11~19=?	regroupingfalse	horizontal			20~30				
			72003	operations_drag	20-1~10=?		horizontal			1~10				
			72004	compare_number_magnitudes	descending	اعداد کو بڑے سے چھوٹے کی ترتیب دیں	सबसे बड़े से लेकर सबसे छोटे तक के क्रम में संख्या को रखे			51~99				
			72005	word_problem	بلی كے پاس 2 مربلیس ہیں . اینڈرے كے پاس بلی سے 3 زیادہ مربلیس ہیں . اینڈرے كے پاس کل کتنے مربلیس ہیں ؟	बिली के पास two मार्बल्स हैं। ऑड्रे के पास बिली की तुलना में three अधिक मार्बल्स हैं। ऑड्रे के पास कितने मार्बल्स हैं?				5				
MiniTest_7_3	1	73001, 73002, 73003, 73004, 73005												
			73001	compare_number_magnitudes	ascending	اعداد کو چھوٹے سے بڑے کی ترتیب دیں	सबसे छोटे से लेकर सबसे बड़े तक के क्रम में संख्या को रखे			71~99				
			73002	missing_number_drag	2	3	descending			11~30	2			
			73003	operations_with_objects	11~19+11~19=?	regroupingtrue				20~40				
			73004	operations_drag	21~50-10~20=?	regroupingfalse	vertical			1~40				
			73005	word_problem	5 ٹیبل پر 5 سب رکھے ہیں . سام 2 سب کھا لیتا ہے . ٹیبل پر اب کتنے سب بچے ہیں ؟	Five एपल्स टेबल पर हैं। सैम two एपल्स खाता है। टेबल पर कितने सेब बचे हैं?				3				
PostTest_7	1	7001, 7002~7003, 7004, 7005, 7006~7007, 7008, 7009, 7010~7011, 7012, 7013												
			7001	use_magnitude_symbols	51~100	51~100	خالی جاگہ میں بھریں .	 खाली स्थान भरें						
			7002	compare_number_magnitudes	ascending	اعداد کو چھوٹے سے بڑے کی ترتیب دیں	सबसे छोटे से लेकर सबसे बड़े तक के क्रम में संख्या को रखे			51~100				
			7003	compare_number_magnitudes	descending	اعداد کو بڑے سے چھوٹے کی ترتیب دیں	सबसे बड़े से लेकर सबसे छोटे तक के क्रम में संख्या को रखे			51~100				
			7004	missing_number_drag	3	4	ascending			10~50	3			
			7005	missing_number_drag	5	3	descending			10~50	5			
			7006	operations_with_objects	11~19+1~9=?	regroupingtrue				20~30				
			7007	operations_with_objects	1~9+11~19=?	regroupingtrue				20~30				
			7008	operations_with_objects	11~19+11~19=?	regroupingtrue				20~40				
			7009	operations_drag	11~50-11~30=?	regroupingfalse	vertical			1~50				
			7010	word_problem	اسٹاکی نے صبح 5 مچھلیاں پکڑی. اس نے دوپہر میں 4 اور مچھلیاں پکڑی. اسٹاکی نے سب ملکر کتنی مچھلیاں پکڑی؟	स्टैसी ने सुबह 5 मछलियाँ पकड़ीं। उसने दोपहर में 4 और मछलियाँ पकड़ीं। स्टैसी ने कुल कितनी मछली पकड़ी?				9				
			7011	word_problem	ہینری كے پاس 4 اسٹیمپس ہیں. ایرک كے پاس ہینری سے 5 اسٹیمپس زیادہ ہیں. ایرک كے پاس کتنے اسٹیمپس ہیں؟	हेनरी के पास 4 डाक टिकट हैं। एरिक के पास हेनरी की तुलना में 5 अधिक डाक टिकट हैं। एरिक के पास कितने डाक टिकट हैं?				8				
			7012	word_problem	ہینری كے پاس 4 اسٹیمپس ہیں . ایرک كے پاس ہینری سے 5 زیادہ ڈال اسٹیمپس ہیں . ایرک كے پاس کتنے ستماپس ہیں ؟	एक पेड़ की शाखा पर 8 पक्षी बैठे हैं। कुछ उड़ गए। अब शाखा पर 3 पक्षी हैं। कितने पक्षी उड़ गए?				3				
			7013	word_problem	آپ کے پاس 7 گببارے ہے اور آپ کے دوست کے پاس ہیں 5 گببارے . کتنے زیادہ گببارے آپ کے پاس دوست کے مقابلے میں ہے ؟	आपके पास 7 गुब्बारे हैं और आपके मित्र के पास 5 गुब्बारे हैं। आपके मित्र के मुकाबले आपके पास कितने गुब्बारे ज़्यादा हैं?				2				
MiniTest_8_1	1	81001, 81002, 81003, 81004, 81005												
